"ids"	"gender"	"last_connection"	"x1"	"x2"	"x3"	"t1"	"t2"
1	"F"	"2015-04-27"	37.7961889142171	292.18933832708	85.871731765205	1102.89673151914	1814.85202247186
2	"M"	"2015-04-27"	44.5234371582046	294.989422626433	96.4320399099668	1116.84589527082	1679.95769050573
3	"F"	"2015-02-16"	90.5937227420509	298.21953088739	96.9154758865709	1290.88224438252	1841.98788899326
4	"M"	"2015-04-18"	44.0554400207475	303.041349900977	96.422229518675	1173.23138959473	1712.16539960391
5	"F"	"2015-03-08"	9.75316488184035	298.005908891607	95.1920993134134	1036.00713119376	1841.02659001223
6	"F"	"2015-03-05"	95.7844726275653	292.635037332283	98.6172059629946	1258.50881269434	1816.85766799527
7	"F"	"2015-02-03"	73.4061842551455	295.755651293512	99.7487507722974	1249.79572678683	1830.9004308208
8	"M"	"2015-03-25"	83.9042444480583	295.976096258097	91.8389628223364	1250.99050616845	1683.90438503239
9	"M"	"2015-04-11"	92.7602293668315	310.312463284287	96.4317891706947	1255.19754561828	1741.24985313715
10	"M"	"2015-03-03"	69.4649160839617	299.972251807991	98.2806494755772	1168.36898132693	1699.88900723196
11	"M"	"2015-03-08"	48.6862984951586	300.411651556147	99.0188864602996	1094.61400522152	1701.64660622459
12	"F"	"2015-03-15"	90.2983747422695	306.501875216802	97.062173367503	1351.96455979254	1879.25843847561
13	"F"	"2015-03-17"	48.0901899049059	326.689927716454	89.3748043844157	1067.06393886125	1970.10467472404
14	"M"	"2015-03-14"	87.8666182747111	280.825886803991	95.4092510311268	1280.25737406453	1623.30354721596
15	"M"	"2015-04-01"	46.8439310789108	305.807519658037	96.0222548512919	1195.99075157195	1723.23007863215
16	"F"	"2015-03-17"	5.19445866812021	313.418567572621	91.7291262693088	1074.75067654625	1910.38355407679
17	"M"	"2015-02-23"	23.7659131642431	298.139527367488	99.9173505069501	1087.9032501718	1692.55810946995
18	"F"	"2015-04-28"	8.48627267405391	291.491517557075	87.9476198198225	1037.99244227353	1811.71182900684
19	"M"	"2015-02-19"	63.1762079428881	296.409368193643	95.3942551321006	1244.75503990659	1685.63747277457
20	"F"	"2015-03-30"	57.895731809549	323.835387593137	98.6863337300695	1160.07912222762	1957.25924416912
21	"F"	"2015-04-05"	47.0133987022564	296.674922086416	98.3644066439917	1212.64509902569	1835.03714938887
22	"M"	"2015-03-24"	91.786603606306	291.786461680088	96.3644906037947	1395.3724970296	1667.14584672035
23	"M"	"2015-04-22"	55.332018295303	315.177453708104	96.0609322851748	1270.9344716114	1760.70981483242
